review_id,review_text,sentiment
57,"Highly recommend this, the screen is exactly what I needed.",positive
191,Delivery took a while but the screen is acceptable.,neutral
67,"Highly recommend this, the user interface is exactly what I needed.",positive
156,"I regret buying this, the battery life does not work as advertised.",negative
118,"Terrible experience, battery life arrived damaged.",negative
153,"Extremely frustrated, the shipping speed is defective.",negative
96,"Poor quality, build quality feels cheap and flimsy.",negative
128,"Terrible experience, battery life arrived damaged.",negative
25,"Highly recommend this, the camera is exactly what I needed.",positive
196,Delivery took a while but the connectivity is acceptable.,neutral
39,"Highly recommend this, the packaging is exactly what I needed.",positive
103,"Terrible experience, design arrived damaged.",negative
40,"I absolutely love the build quality, works perfectly every time.",positive
174,"Average product, battery life works as expected, no surprises.",neutral
133,"Extremely frustrated, the connectivity is defective.",negative
107,"Waste of money, the shipping speed broke on the first use.",negative
42,"Five stars, the build quality is durable and reliable.",positive
106,"I regret buying this, the warranty support does not work as advertised.",negative
189,"The build quality is decent for the price, could be better.",neutral
129,"Very disappointed, the instructions stopped working after a week.",negative
181,"It's fine, the camera matches the description provided.",neutral
22,Customer support was helpful and the build quality works great.,positive
108,"Poor quality, design feels cheap and flimsy.",negative
143,"Poor quality, size feels cheap and flimsy.",negative
90,"Very disappointed, the performance stopped working after a week.",negative
102,"Extremely frustrated, the packaging is defective.",negative
95,"Not worth the price, camera quality is bad.",negative
65,"Highly recommend this, the user interface is exactly what I needed.",positive
101,"Terrible experience, instructions arrived damaged.",negative
117,"Not worth the price, screen quality is bad.",negative
64,"I absolutely love the performance, works perfectly every time.",positive
155,"Very disappointed, the design stopped working after a week.",negative
164,"It's fine, the user interface matches the description provided.",neutral
20,"Five stars, the instructions is durable and reliable.",positive
47,"Really happy with this purchase, warranty support is outstanding.",positive
167,"It's fine, the packaging matches the description provided.",neutral
84,Customer service was unhelpful about the screen issue.,negative
141,"Very disappointed, the shipping speed stopped working after a week.",negative
16,"This product exceeded my expectations, warranty support is fantastic.",positive
162,"It's fine, the screen matches the description provided.",neutral
183,"It works, though the shipping speed design could be improved.",neutral
142,"Terrible experience, sound arrived damaged.",negative
200,Delivery took a while but the camera is acceptable.,neutral
62,"Five stars, the warranty support is durable and reliable.",positive
136,"Very disappointed, the size stopped working after a week.",negative
131,"Not worth the price, performance quality is bad.",negative
193,"It's fine, the shipping speed matches the description provided.",neutral
10,"Great value for money, sound quality is excellent.",positive
23,"This product exceeded my expectations, screen is fantastic.",positive
77,Customer support was helpful and the performance works great.,positive
149,"Not worth the price, battery life quality is bad.",negative
73,"Really happy with this purchase, performance is outstanding.",positive
124,Customer service was unhelpful about the instructions issue.,negative
173,"The performance is okay, nothing special but does the job.",neutral
30,"Really happy with this purchase, performance is outstanding.",positive
179,"The performance is okay, nothing special but does the job.",neutral
32,Customer support was helpful and the camera works great.,positive
88,"Waste of money, the packaging broke on the first use.",negative
7,Fast delivery and the sound feels premium.,positive
46,"Highly recommend this, the user interface is exactly what I needed.",positive
97,Customer service was unhelpful about the shipping speed issue.,negative
169,Delivery took a while but the build quality is acceptable.,neutral
26,"Really happy with this purchase, design is outstanding.",positive
197,"The warranty support is okay, nothing special but does the job.",neutral
24,"Five stars, the sound is durable and reliable.",positive
135,"Waste of money, the sound broke on the first use.",negative
12,"Really happy with this purchase, connectivity is outstanding.",positive
100,Customer service was unhelpful about the connectivity issue.,negative
61,"Really happy with this purchase, user interface is outstanding.",positive
37,"I absolutely love the connectivity, works perfectly every time.",positive
122,"Extremely frustrated, the warranty support is defective.",negative
2,"Great value for money, shipping speed quality is excellent.",positive
184,Delivery took a while but the connectivity is acceptable.,neutral
151,"Waste of money, the performance broke on the first use.",negative
27,"Highly recommend this, the user interface is exactly what I needed.",positive
137,"Not worth the price, battery life quality is bad.",negative
145,"Terrible experience, design arrived damaged.",negative
82,"Waste of money, the camera broke on the first use.",negative
188,"It's fine, the connectivity matches the description provided.",neutral
28,"Really happy with this purchase, performance is outstanding.",positive
